Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
94695941,4/28/2020 21:20,4/28/2020 21:38,70528,1064,1072,Glasshouse,49611,24th St & Smallman St,Customer
94695946,4/28/2020 21:23,4/28/2020 21:33,70520,613,49301,Centre Ave & N Craig St,,BIKE 70520,Subscriber
94695947,4/28/2020 21:24,4/28/2020 21:39,70561,897,1034,Ellsworth Ave & N Neville St,49261,Wightman St & Forbes Ave,Customer
94695968,4/28/2020 21:42,4/28/2020 21:50,70520,477,,BIKE 70520,,BIKE 70520,Subscriber
94696000,4/28/2020 22:10,4/28/2020 22:20,70280,624,49441,Roup Ave & Friendship Ave,1019,42nd St & Butler St,Customer
94696009,4/28/2020 22:25,4/28/2020 23:43,70404,4683,49401,Stanton Ave & N Negley Ave,1041,Fifth Ave & S Bouquet St,Subscriber
94696171,4/28/2020 23:51,4/29/2020 1:00,70306,4152,1027,Shady Ave & Ellsworth Ave,1027,Shady Ave & Ellsworth Ave,Customer
94696174,4/28/2020 23:52,4/29/2020 1:01,70502,4142,1027,Shady Ave & Ellsworth Ave,1027,Shady Ave & Ellsworth Ave,Customer
94696272,4/29/2020 0:18,4/29/2020 0:34,70509,979,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Subscriber
94696436,4/29/2020 0:47,4/29/2020 1:21,70592,1996,49691,Liberty Ave & 6th St,49691,Liberty Ave & 6th St,Customer
94696444,4/29/2020 0:48,4/29/2020 1:22,70375,2053,49691,Liberty Ave & 6th St,49691,Liberty Ave & 6th St,Customer
94698529,4/29/2020 3:24,4/29/2020 3:35,70530,663,1003,First Ave & Smithfield St,1013,Isabella St & Federal St (PNC Park),Subscriber
94699476,4/29/2020 4:27,4/29/2020 4:35,70161,490,49401,Stanton Ave & N Negley Ave,1024,S Negley Ave & Baum Blvd,Subscriber
94700134,4/29/2020 5:09,4/29/2020 5:26,70664,1014,1061,33rd St & Penn Ave ,49641,11th St & Penn Ave,Subscriber
94700505,4/29/2020 5:34,4/29/2020 5:43,70106,510,1015,Federal St & E North Ave,1056,Wood St & Sixth Ave,Customer
94700541,4/29/2020 5:36,4/29/2020 5:46,70253,622,1013,Isabella St & Federal St (PNC Park),49641,11th St & Penn Ave,Subscriber
94703205,4/29/2020 7:44,4/29/2020 7:54,70553,558,,BIKE 70553,49731,Ross St & Fourth Ave,Subscriber
94703808,4/29/2020 8:12,4/29/2020 8:27,70644,851,1029,Alder St & S Highland Ave,1041,Fifth Ave & S Bouquet St,Subscriber
94704365,4/29/2020 8:35,4/29/2020 8:51,70460,997,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
94704371,4/29/2020 8:35,4/29/2020 10:03,70109,5263,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
94704834,4/29/2020 8:52,4/29/2020 12:48,70301,14147,49611,24th St & Smallman St,1019,42nd St & Butler St,Subscriber
94706152,4/29/2020 9:38,4/29/2020 9:59,70511,1251,1028,Penn Ave & Putnam St (Bakery Square),1094,O'Hara St & Desoto St,Subscriber
94706350,4/29/2020 9:43,4/29/2020 9:48,70520,300,,BIKE 70520,1024,S Negley Ave & Baum Blvd,Subscriber
94706522,4/29/2020 9:49,4/29/2020 9:58,70523,537,1017,21st St & Penn Ave,1011,Fort Duquesne Blvd & 7th St,Customer
94707132,4/29/2020 10:07,4/29/2020 10:24,70520,1036,1024,S Negley Ave & Baum Blvd,49301,Centre Ave & N Craig St,Subscriber
94707253,4/29/2020 10:10,4/29/2020 10:56,70060,2734,,BIKE 70060,,BIKE 70060,Customer
94707363,4/29/2020 10:13,4/29/2020 11:27,70685,4400,1019,42nd St & Butler St,1019,42nd St & Butler St,Customer
94707549,4/29/2020 10:19,4/29/2020 11:27,70466,4084,1019,42nd St & Butler St,1019,42nd St & Butler St,Customer
94709685,4/29/2020 11:23,4/29/2020 11:27,70230,219,1060,Penn Ave & 29th St,,BIKE 70230,Customer
94709747,4/29/2020 11:25,4/29/2020 11:27,70555,88,,BIKE 70555,,BIKE 70555,Customer
94710046,4/29/2020 11:34,4/29/2020 12:09,70541,2070,1019,42nd St & Butler St,1019,42nd St & Butler St,Subscriber
94710351,4/29/2020 11:42,4/29/2020 11:51,70520,497,49301,Centre Ave & N Craig St,1024,S Negley Ave & Baum Blvd,Subscriber
94710671,4/29/2020 11:53,4/29/2020 13:40,70147,6369,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
94710732,4/29/2020 11:55,4/29/2020 13:43,70439,6445,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1093,S Bouquet Ave & Sennott St,Customer
94711060,4/29/2020 12:04,4/29/2020 12:40,70517,2196,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
94711063,4/29/2020 12:04,4/29/2020 12:40,70573,2169,,BIKE 70573,1047,S 22nd St & E Carson St,Customer
94711180,4/29/2020 12:07,4/29/2020 12:31,70065,1436,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1019,42nd St & Butler St,Subscriber
94711268,4/29/2020 12:09,4/29/2020 13:09,70610,3610,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
94711435,4/29/2020 12:13,4/29/2020 13:57,70105,6212,,BIKE 70105,1061,33rd St & Penn Ave ,Customer
94711448,4/29/2020 12:13,4/29/2020 12:17,70596,219,1059,Burns White Center at 3 Crossings,,BIKE 70596,Customer
94711456,4/29/2020 12:14,4/29/2020 12:17,70113,222,1059,Burns White Center at 3 Crossings,,BIKE 70113,Customer
94711462,4/29/2020 12:14,4/29/2020 13:31,70339,4657,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
94711528,4/29/2020 12:15,4/29/2020 12:17,70579,104,,BIKE 70579,,BIKE 70579,Customer
94711534,4/29/2020 12:15,4/29/2020 12:19,70018,220,1059,Burns White Center at 3 Crossings,1059,Burns White Center at 3 Crossings,Customer
94711535,4/29/2020 12:15,4/29/2020 12:17,70606,87,,BIKE 70606,,BIKE 70606,Customer
94711563,4/29/2020 12:16,4/29/2020 12:58,70428,2536,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Subscriber
